id,name,category,subcat,price
850,Pet Food Storage Container,Pets,Pet Accessories,24.99
851,Travel Makeup Organizer,Beauty,Makeup,25.99
852,Coloring Books for Adults,Books,Arts & Crafts,14.99
853,Smartphone UV Sanitizer,Health,Personal Care & Grooming,39.99
854,Sparkling Blood Orange Soda,Food - Beverages,Sparkling Beverages,1.99
855,Dish Soap Dispenser,Kitchen,Kitchen Accessories,18.99
856,Body Wash,Beauty,Bath & Body,12.99
857,Sriracha Chili Sauce,Food - Condiments,Hot Sauces,2.79
858,Coconut Oil,Food - Oils & Vinegars,Oils,6.49
859,Kale & Quinoa Salad Mix,Food - Salads,Ready-to-Eat Salads,4.49
860,Kettle BBQ Grill,Outdoor,Grills and Smokers,99.99
861,Bluetooth Shower Speaker,Audio,Portable Speakers,24.99
862,Digital Meat Thermometer,Kitchen,Cooking Tools & Utensils,24.99
863,Rechargeable Battery Organizer,Home,Home Organization,17.99
864,Vegetarian Chili,Food - Canned Goods,Soups & Broths,3.99
865,Stuffed Bell Peppers,Food - Frozen Meals,Frozen Vegetarian Meals,5.99
866,Chocolate Protein Powder,Food - Supplements,Supplements,24.99
867,Apple Pie Filling,Food - Canned Goods,Canned Fruits,3.49
868,Fleece Hoodie,Clothing - Outerwear,Hoodies,39.99
869,Chocolate Dipped Fruit,Food - Snacks,Sweet Snacks,5.99
870,Sesame Garlic Stir-Fry Sauce,Food - Sauces,Asian Sauces,2.79
871,Coconut Cashew Yogurt,Food - Dairy Alternatives,Plant-Based Yogurt,1.99
872,Sweet Potato Tots,Food - Frozen Foods,Frozen Snacks,4.29
873,Sous Vide Cooker,Kitchen,Cooking Appliances,79.99
874,Pet Hair Vacuum Attachment,Pets,Grooming Supplies,14.99
875,Sparkling Blood Orange Soda,Food - Beverages,Sparkling Beverages,1.99
876,Kids' Gardening Kit,Toys,Outdoor Play Toys,24.99
877,Elderberry Syrup,Food - Supplements,Supplements,11.99
878,Roasted Red Pepper Hummus,Food - Dips,Vegetable Dips,3.49
879,LED Christmas Lights,Home,Seasonal Home Decor,29.99
880,Spicy Tuna Rolls,Food - Seafood,Sushi,6.49
881,Silicone Baking Cups,Kitchen,Baking Accessories,10.99
882,Stainless Steel Grater,Kitchen,Kitchen Gadgets,14.99
883,High-Speed HDMI Cable,Electronics,Cables & Accessories,12.99
884,Vegan Mac & Cheese,Food - Frozen,Frozen Meals,8.99
885,Honeycrisp Apple Chips,Food - Snacks,Dried Fruits,3.49
886,Cranberry Almond Cookies,Food - Bakery,Cookies,4.29
887,Board Game,Toys,Tabletop Games,34.99
888,LED Camping Lantern with USB Charging,Outdoor,Camping Equipment,34.99
889,Potato Wedge Seasoning,Food - Condiments,Seasoning Blends,2.49
890,Tomato Sauce,Food - Canned Goods,Sauces & Condiments,2.79
891,Ranch Dressing,Food - Condiments,Dressing,2.59
892,Fire Roasted Salsa,Food - Condiments,Salsas,2.49
893,Grass Fed Beef Patties,Food - Meat,Grass-Fed Meat Products,9.99
894,Insulated Lunch Box,Kitchen,Food Storage Solutions,24.99
895,Creative Puzzle Game,Toys,Educational Toys,19.99
896,Chickpea Pasta,Food - Pasta,Specialty Pasta,4.19
897,Magic Color-Changing Mug,Kitchen,Drinkware,14.99
898,Italian Sausage and Peppers,Food - Meat,Prepared Meals,8.99
899,Wireless Game Controller,Gaming,Gaming Accessories,39.99
900,Sunflower Seeds,Food - Nuts,Seeds & Nuts,2.99
901,Electric Butter Churn,Kitchen,Small Appliances,49.99
902,High-Quality Yoga Block,Fitness,Yoga Equipment,12.99
903,Aged White Cheddar Popcorn,Food - Snacks,Gourmet Snacks,2.99
904,Kettle Corn Popcorn,Food - Snacks,Savory Snacks,2.99
905,Honey Almond Granola Bars,Food - Snacks,Healthy Snacks,3.99
906,Raspberry Tart,Food - Baked Goods,Pies and Tarts,5.49
907,Chocolate Chip Pancake Mix,Food - Bakery,Baking Mixes,3.99
908,LED Desk Light,Home,Lighting & Lamps,34.99
909,Apple Juice,Food - Beverages,Juice,3.29
910,Deluxe First Aid Kit,Health,Emergency Preparedness & First Aid,39.99
911,Travel Shoe Bags Set,Travel,Travel Accessories,15.99
912,Memory Foam Pillow,Home,Bedding & Linens,39.99
913,Smart Scale,Health,Fitness & Nutrition,59.99
914,Gaming Headset,Gaming,Gaming Accessories,69.99
915,Canned Sardines,Food - Seafood,Canned Seafood,3.29
916,Fire Roasted Salsa,Food - Condiments,Salsas,2.49
917,Heat-Resistant Silicone Mat,Kitchen,Baking Accessories,19.99
918,Frozen Acai Bowl,Food - Frozen Foods,Frozen Smoothies,6.49
919,Greek Yogurt Parfait,Food - Dairy,Yogurt,4.49
920,Portable Camping Stove,Outdoor,Camping Equipment,49.99
921,Smart Thermos,Fitness,Hydration Gear,39.99
922,Sunglasses,Accessories,Eyewear,29.99
923,Organic Apples,Food - Produce,Fruits,1.89
924,Sesame Garlic Noodles,Food - Pasta,Asian Dishes,3.49
925,Pressure Washer Accessories Kit,Home Improvement,Outdoor Cleaning,39.99
926,Sunglasses Case,Accessories,Eyewear,15.99
927,Vanilla Ice Cream,Food - Frozen Foods,Frozen Desserts,4.99
928,Wireless Charging Station,Electronics,Mobile Accessories,39.99
929,Premium Flashlight,Outdoor,Camping Equipment,19.99
930,Basil Tomato Soup,Food - Canned Soups,Soups,2.99
931,Organic Vanilla Bean Ice Cream,Food - Frozen Desserts,Ice Cream,5.99
932,Glass Tea Pot,Kitchen,Coffee Equipment,34.99
933,Electric Can Opener,Kitchen,Kitchen Gadget,29.99
934,Cotton Pajama Set,Clothing - Loungewear,Sleepwear,49.99
935,Kids' Art Easel,Toys,Creative Toys,58.99
936,Buffalo Cauliflower Wings,Food - Frozen Foods,Frozen Appetizers,6.99
937,Phone Screen Protector,Accessories,Mobile Accessories,12.99
938,Bamboo Utensil Set,Kitchen,Eco-Friendly Kitchen Products,14.99
939,Non-Stick Grill Mat,Outdoor,Grilling Accessories,19.99
940,Insulated Cooler,Outdoor,Camping Equipment,39.99
941,Wireless HDMI Transmitter,Electronics,Audio & Video Accessories,79.99
942,Compact Shoe Rack,Home,Home Furnishings,34.99
943,Eco-Friendly Yoga Mat,Fitness,Sustainable Fitness Equipment,39.99
944,Ceramic Bakeware Set,Kitchen,Cookware,49.99
945,Tailored Dress Pants,Clothing - Bottoms,Trousers,79.99
946,Chocolate Syrup,Food - Condiments,Syrups,2.99
947,Fleece Throw Blanket,Home,Bedding & Linens,29.99
948,Pumpkin Pie Spice,Food - Baking,Baking Ingredients,2.99
949,Personal Blender with Travel Lid,Kitchen,Blenders & Juicers,34.99
950,Brussels Sprouts,Food - Produce,Vegetables,3.49
951,Maple Bacon Potato Chips,Food - Snacks,Savory Snacks,2.89
952,Tattoo Kit,Art Supplies,Tattoo Supplies,99.99
953,Yoga Mat,Fitness,Yoga Equipment,25
954,Ground Cinnamon,Food - Spices,Herbs and Spices,1.99
955,Garam Masala Spice Blend,Food - Spices,Regional Seasoning Blends,2.79
956,Aeropress Coffee Maker,Kitchen,Coffee Equipment,29.99
957,Adjustable Laptop Desk,Office,Furniture,59.99
958,Basmati Rice,Food - Grains,Rice,5.79
959,Eco-Friendly Stainless Steel Straws,Kitchen,Kitchen Accessories,12.99
960,Feta Cheese Crumbles,Food - Dairy,Cheese,2.49
961,Shoe Organizer,Home,Home Organization,39.99
962,Dog Walking Waist Pack,Pets,Dog Accessories,19.99
963,Sriracha Sauce,Food - Condiments,Hot Sauces,3.19
964,Thai Peanut Dressing,Food - Condiments,Dressing,3.29
965,Almond Flour Pizza Crust,Food - Frozen Foods,Frozen Pizza Crusts,7.99
966,Garden Tool Set with Carrying Bag,Garden,Garden Tools,39.99
967,Collapsible Water Bottle,Fitness,Hydration Gear,12.99
968,Frozen Mixed Berries,Food - Frozen Foods,Frozen Fruits,5.99
969,Organic Spinach,Food - Produce,Leafy Greens,2.99
970,Fitness Tracker Band,Fitness,Wearable Technology,29.99
971,Folding Backpack Chair,Outdoor,Camping Equipment,49.99
972,Dark Chocolate Almond Butter Cups,Food - Snacks,Nut-Based Snacks,4.99
973,Maple Oatmeal,Food - Breakfast,Instant Breakfast,2.99
974,Stainless Steel Mixing Bowls,Kitchen,Cookware,29.99
975,Electric Wax Warmer,Home,Home Fragrance & Accessories,22.99
976,Chipotle Black Bean Salad,Food - Salads,Bean Salads,3.29
977,Vegetable Broth,Food - Canned Goods,Soups & Broths,2.29
978,Portable USB-C Monitor,Electronics,Computer Accessories,199.99
979,Comfort Flats,Clothing - Shoes,Casual Footwear,44.99
980,DIY Candle Kit,Crafts,Candle & Soap Making Supplies,34.99
981,Protein Pancake Mix,Food - Breakfast,Pancakes & Waffles,3.99
982,Green Tea Matcha Powder,Food - Beverages,Tea,15.99
983,Cinnamon Sugar Popcorn,Food - Snacks,Savory Snacks,2.89
984,Chocolate Chip Pancake Mix,Food - Bakery,Baking Mixes,3.99
985,Oven-Baked Sweet Potato Fries,Food - Frozen Foods,Frozen Vegetables,3.99
986,Wall Calendar,Home,Decorative Wall Art & Accessories,17.99
987,Mini Projector,Electronics,Portable Audio & Video Equipment,169.99
988,Freestanding Wine Rack,Home,Home Organization,79.99
989,Kids' Activity Book,Books,Children's Educational Books,14.99
990,Shatterproof Wine Glasses,Outdoor,Outdoor Accessories,24.99
991,Peach Green Tea,Food - Beverages,Tea,3.49
992,Leather Notebook Cover,Office,Office Accessories,29.99
993,Self-Watering Planters,Garden,Planters,49.99
994,Artisan Bread Loaf,Food - Bakery,Breads,3.99
995,Suction Cup Hooks,Home,Home Organization,9.99
996,Smart LED Desk Lamp,Office,Lighting,39.99
997,Children's Art Set,Toys,Creative Toys,34.99
998,Cinnamon Roll Protein Bar,Food - Snacks,Protein Snacks,2.99
999,Oven Thermometer,Kitchen,Cooking Tools & Utensils,11.99
1000,Athletic Jogging Jacket,Clothing - Outerwear,Activewear Jackets,49.99
